state_id,condition,layer,denoising_index,timestep,action_expert_rmse,velocity_rmse
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,0,1.0,0.08927213677406877,0.15286825760655626
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,1,0.8999999761581421,0.09181400577799619,0.1568554436207098
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,2,0.800000011920929,0.09787245674222496,0.1588584693444219
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,3,0.699999988079071,0.1053125776852076,0.15865663620046003
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,4,0.6000000238418579,0.11556149231178524,0.16177253513768006
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,5,0.5,0.1288436974749701,0.16558373301075727
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,6,0.4000000059604645,0.145707708150435,0.1704547448055129
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,7,0.30000001192092896,0.16598697570265974,0.18870870081839758
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,8,0.20000000298023224,0.19144505302684556,0.21702906908624423
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,9,0.10000000149011612,0.2228497951697404,0.2978722173986094
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,0,1.0,0.19920154455348643,0.15286825760655626
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,1,0.8999999761581421,0.2048120868926873,0.1568554436207098
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,2,0.800000011920929,0.2123549857542425,0.1588584693444219
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,3,0.699999988079071,0.22004207333714298,0.15865663620046003
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,4,0.6000000238418579,0.22939804965294666,0.16177253513768006
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,5,0.5,0.24044830384204768,0.16558373301075727
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,6,0.4000000059604645,0.2540270757644359,0.1704547448055129
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,7,0.30000001192092896,0.27085943519597944,0.18870870081839758
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,8,0.20000000298023224,0.2916925789064439,0.21702906908624423
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,9,0.10000000149011612,0.3133672903422401,0.2978722173986094
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,0,1.0,0.2917564320220815,0.15286825760655626
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,1,0.8999999761581421,0.29936646674252976,0.1568554436207098
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,2,0.800000011920929,0.3082117237971712,0.1588584693444219
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,3,0.699999988079071,0.3157046959379381,0.15865663620046003
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,4,0.6000000238418579,0.32524452863570286,0.16177253513768006
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,5,0.5,0.33434869510349136,0.16558373301075727
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,6,0.4000000059604645,0.3448289937905898,0.1704547448055129
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,7,0.30000001192092896,0.35707139937971816,0.18870870081839758
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,8,0.20000000298023224,0.37190905092682597,0.21702906908624423
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,9,0.10000000149011612,0.3867941664387443,0.2978722173986094
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,0,1.0,0.30033941406381554,0.15286825760655626
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,1,0.8999999761581421,0.31121970151533446,0.1568554436207098
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,2,0.800000011920929,0.3226473159298491,0.1588584693444219
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,3,0.699999988079071,0.3331066850637406,0.15865663620046003
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,4,0.6000000238418579,0.34738689927285776,0.16177253513768006
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,5,0.5,0.3615800471741802,0.16558373301075727
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,6,0.4000000059604645,0.37779189672787744,0.1704547448055129
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,7,0.30000001192092896,0.3967595547573499,0.18870870081839758
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,8,0.20000000298023224,0.41545195658707795,0.21702906908624423
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,9,0.10000000149011612,0.4247830006069502,0.2978722173986094
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,0,1.0,0.11087082140778613,0.3578390662990801
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,1,0.8999999761581421,0.11604217558351368,0.355487706385978
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,2,0.800000011920929,0.12960676489494444,0.3560626592019467
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,3,0.699999988079071,0.15046354947394727,0.35801513414171005
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,4,0.6000000238418579,0.18029737726126294,0.3675699844565256
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,5,0.5,0.22069654216610055,0.3851782120120906
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,6,0.4000000059604645,0.2728747345644314,0.4280737698578248
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,7,0.30000001192092896,0.3408896526891671,0.4872019751989005
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,8,0.20000000298023224,0.4323099799519284,0.54842711053988
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,9,0.10000000149011612,0.5635104694758526,0.5965080783129055
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,0,1.0,0.3048497655838771,0.3578390662990801
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,1,0.8999999761581421,0.31288800672600103,0.355487706385978
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,2,0.800000011920929,0.32708801938401766,0.3560626592019467
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,3,0.699999988079071,0.3451716817166767,0.35801513414171005
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,4,0.6000000238418579,0.3713706051729723,0.3675699844565256
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,5,0.5,0.4078232983448479,0.3851782120120906
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,6,0.4000000059604645,0.45767472107988305,0.4280737698578248
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,7,0.30000001192092896,0.5259456157389654,0.4872019751989005
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,8,0.20000000298023224,0.6128029871739625,0.54842711053988
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,9,0.10000000149011612,0.7215823527485786,0.5965080783129055
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,0,1.0,0.4750235993132886,0.3578390662990801
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,1,0.8999999761581421,0.48762525035430876,0.355487706385978
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,2,0.800000011920929,0.5031964492132098,0.3560626592019467
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,3,0.699999988079071,0.5205512672918433,0.35801513414171005
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,4,0.6000000238418579,0.5469226382998511,0.3675699844565256
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,5,0.5,0.5839408223125552,0.3851782120120906
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,6,0.4000000059604645,0.6375861238604882,0.4280737698578248
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,7,0.30000001192092896,0.7048477838563798,0.4872019751989005
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,8,0.20000000298023224,0.7743116701592978,0.54842711053988
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,9,0.10000000149011612,0.8419780310979983,0.5965080783129055
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,0,1.0,0.47527598026911455,0.3578390662990801
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,1,0.8999999761581421,0.492107310330634,0.355487706385978
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,2,0.800000011920929,0.5102121137632574,0.3560626592019467
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,3,0.699999988079071,0.5319743317731074,0.35801513414171005
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,4,0.6000000238418579,0.564126704366482,0.3675699844565256
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,5,0.5,0.6084358789008569,0.3851782120120906
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,6,0.4000000059604645,0.6702987552542803,0.4280737698578248
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,7,0.30000001192092896,0.7441554301294753,0.4872019751989005
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,8,0.20000000298023224,0.8149287195223679,0.54842711053988
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,9,0.10000000149011612,0.8695209018180085,0.5965080783129055
libero_goal_task03_ep000_seed0_step0050,main_mean,3,0,1.0,0.10424412327476341,0.12180396589187989
libero_goal_task03_ep000_seed0_step0050,main_mean,3,1,0.8999999761581421,0.10536040976785223,0.11762658142656669
libero_goal_task03_ep000_seed0_step0050,main_mean,3,2,0.800000011920929,0.1098648611053983,0.11715832134361376
libero_goal_task03_ep000_seed0_step0050,main_mean,3,3,0.699999988079071,0.11505649638877882,0.11683298183004232
libero_goal_task03_ep000_seed0_step0050,main_mean,3,4,0.6000000238418579,0.12193827335356558,0.11888761422514466
libero_goal_task03_ep000_seed0_step0050,main_mean,3,5,0.5,0.1308529471081756,0.12127625159405517
libero_goal_task03_ep000_seed0_step0050,main_mean,3,6,0.4000000059604645,0.14199899273900196,0.1291725335290995
libero_goal_task03_ep000_seed0_step0050,main_mean,3,7,0.30000001192092896,0.15637523647980295,0.14917374572900668
libero_goal_task03_ep000_seed0_step0050,main_mean,3,8,0.20000000298023224,0.1770852280830575,0.19893336365506123
libero_goal_task03_ep000_seed0_step0050,main_mean,3,9,0.10000000149011612,0.21182040316425527,0.30311823024632567
libero_goal_task03_ep000_seed0_step0050,main_mean,7,0,1.0,0.19667988178202614,0.12180396589187989
libero_goal_task03_ep000_seed0_step0050,main_mean,7,1,0.8999999761581421,0.19937523827965914,0.11762658142656669
libero_goal_task03_ep000_seed0_step0050,main_mean,7,2,0.800000011920929,0.20551765393103372,0.11715832134361376
libero_goal_task03_ep000_seed0_step0050,main_mean,7,3,0.699999988079071,0.21194034410664966,0.11683298183004232
libero_goal_task03_ep000_seed0_step0050,main_mean,7,4,0.6000000238418579,0.21982675164534263,0.11888761422514466
libero_goal_task03_ep000_seed0_step0050,main_mean,7,5,0.5,0.2293915886619285,0.12127625159405517
libero_goal_task03_ep000_seed0_step0050,main_mean,7,6,0.4000000059604645,0.24013484419325512,0.1291725335290995
libero_goal_task03_ep000_seed0_step0050,main_mean,7,7,0.30000001192092896,0.25386340761237025,0.14917374572900668
libero_goal_task03_ep000_seed0_step0050,main_mean,7,8,0.20000000298023224,0.2727134078978749,0.19893336365506123
libero_goal_task03_ep000_seed0_step0050,main_mean,7,9,0.10000000149011612,0.3045413626412973,0.30311823024632567
libero_goal_task03_ep000_seed0_step0050,main_mean,11,0,1.0,0.27013887724358565,0.12180396589187989
libero_goal_task03_ep000_seed0_step0050,main_mean,11,1,0.8999999761581421,0.2742975142229977,0.11762658142656669
libero_goal_task03_ep000_seed0_step0050,main_mean,11,2,0.800000011920929,0.2818321365497014,0.11715832134361376
libero_goal_task03_ep000_seed0_step0050,main_mean,11,3,0.699999988079071,0.28934241776797387,0.11683298183004232
libero_goal_task03_ep000_seed0_step0050,main_mean,11,4,0.6000000238418579,0.29860420904236434,0.11888761422514466
libero_goal_task03_ep000_seed0_step0050,main_mean,11,5,0.5,0.30912620380359285,0.12127625159405517
libero_goal_task03_ep000_seed0_step0050,main_mean,11,6,0.4000000059604645,0.3203192072877271,0.1291725335290995
libero_goal_task03_ep000_seed0_step0050,main_mean,11,7,0.30000001192092896,0.33383325568823474,0.14917374572900668
libero_goal_task03_ep000_seed0_step0050,main_mean,11,8,0.20000000298023224,0.35048389524644175,0.19893336365506123
libero_goal_task03_ep000_seed0_step0050,main_mean,11,9,0.10000000149011612,0.37739175330887637,0.30311823024632567
libero_goal_task03_ep000_seed0_step0050,main_mean,15,0,1.0,0.23711358527227366,0.12180396589187989
libero_goal_task03_ep000_seed0_step0050,main_mean,15,1,0.8999999761581421,0.24176085951248713,0.11762658142656669
libero_goal_task03_ep000_seed0_step0050,main_mean,15,2,0.800000011920929,0.24950368599187203,0.11715832134361376
libero_goal_task03_ep000_seed0_step0050,main_mean,15,3,0.699999988079071,0.25792556329986316,0.11683298183004232
libero_goal_task03_ep000_seed0_step0050,main_mean,15,4,0.6000000238418579,0.2697105702995894,0.11888761422514466
libero_goal_task03_ep000_seed0_step0050,main_mean,15,5,0.5,0.28342635124873283,0.12127625159405517
libero_goal_task03_ep000_seed0_step0050,main_mean,15,6,0.4000000059604645,0.30023640921551314,0.1291725335290995
libero_goal_task03_ep000_seed0_step0050,main_mean,15,7,0.30000001192092896,0.3222770663485464,0.14917374572900668
libero_goal_task03_ep000_seed0_step0050,main_mean,15,8,0.20000000298023224,0.34937004903542274,0.19893336365506123
libero_goal_task03_ep000_seed0_step0050,main_mean,15,9,0.10000000149011612,0.3830575689632239,0.30311823024632567
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,0,1.0,0.07952619532715126,0.12707486848014155
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,1,0.8999999761581421,0.0803061661240038,0.12624941092282124
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,2,0.800000011920929,0.0844131822242012,0.12621615218300364
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,3,0.699999988079071,0.09009452129977497,0.12487537333196763
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,4,0.6000000238418579,0.09816934425135365,0.1274768472667376
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,5,0.5,0.10932196945529557,0.13285976797428686
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,6,0.4000000059604645,0.12384755444862738,0.14266484468988797
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,7,0.30000001192092896,0.14235852081113679,0.1665266897787517
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,8,0.20000000298023224,0.16701179982820658,0.2158561873526063
libero_goal_task03_ep000_seed0_step0050,wrist_mean,3,9,0.10000000149011612,0.20386544415551744,0.2997152738100706
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,0,1.0,0.15773684560856616,0.12707486848014155
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,1,0.8999999761581421,0.15883833928433347,0.12624941092282124
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,2,0.800000011920929,0.16385040689931563,0.12621615218300364
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,3,0.699999988079071,0.16954806394785973,0.12487537333196763
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,4,0.6000000238418579,0.17742174977819983,0.1274768472667376
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,5,0.5,0.18758720624108854,0.13285976797428686
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,6,0.4000000059604645,0.20091616814918606,0.14266484468988797
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,7,0.30000001192092896,0.2179658571389323,0.1665266897787517
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,8,0.20000000298023224,0.24051544786046222,0.2158561873526063
libero_goal_task03_ep000_seed0_step0050,wrist_mean,7,9,0.10000000149011612,0.2750604398469866,0.2997152738100706
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,0,1.0,0.2390204122152864,0.12707486848014155
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,1,0.8999999761581421,0.23974241333440421,0.12624941092282124
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,2,0.800000011920929,0.24458310991142368,0.12621615218300364
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,3,0.699999988079071,0.24989133451594006,0.12487537333196763
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,4,0.6000000238418579,0.25743886113982944,0.1274768472667376
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,5,0.5,0.2671279607847316,0.13285976797428686
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,6,0.4000000059604645,0.2794982734648068,0.14266484468988797
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,7,0.30000001192092896,0.296173857150026,0.1665266897787517
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,8,0.20000000298023224,0.3168160022124862,0.2158561873526063
libero_goal_task03_ep000_seed0_step0050,wrist_mean,11,9,0.10000000149011612,0.3473126738470474,0.2997152738100706
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,0,1.0,0.22339371564280358,0.12707486848014155
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,1,0.8999999761581421,0.22599712099826536,0.12624941092282124
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,2,0.800000011920929,0.23191213677728698,0.12621615218300364
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,3,0.699999988079071,0.23857946888327286,0.12487537333196763
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,4,0.6000000238418579,0.24941743407376132,0.1274768472667376
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,5,0.5,0.2637748211979722,0.13285976797428686
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,6,0.4000000059604645,0.2826327627247768,0.14266484468988797
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,7,0.30000001192092896,0.3086132988929888,0.1665266897787517
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,8,0.20000000298023224,0.33921409117260354,0.2158561873526063
libero_goal_task03_ep000_seed0_step0050,wrist_mean,15,9,0.10000000149011612,0.37178541563005696,0.2997152738100706
