source_episode_index,source_start_frame,standardized_rmse,raw_rmse,max_abs_difference,query_action_rms,query_translation_rms,query_rotation_rms,query_gripper_abs_mean,query_temporal_std,candidate_action_rms,candidate_translation_rms,candidate_rotation_rms,candidate_gripper_abs_mean,candidate_temporal_std,training_episode_index,training_start_frame,training_task_index
382,0,0.4360032081604004,0.07060129546148373,0.23839285969734192,0.5221591094747673,0.5482295694448536,0.0479025636450529,1.0,0.21666503676754148,0.5160186203004508,0.5360380260452212,0.02527330197457137,1.0,0.204030608581955,624,1,12
382,54,0.5508105158805847,0.1465027612422801,0.6053571701049805,0.43726295460829223,0.3333001155080189,0.04133335745874735,1.0,0.21169414321653876,0.470618993984756,0.42573407864475554,0.047000515373308946,1.0,0.25609656930649516,409,67,12
382,108,0.44953933358192444,0.07164485294432954,0.2517857253551483,0.47946776129507174,0.4438115042723841,0.07814385212671553,1.0,0.1752130043534029,0.4811852575128363,0.44966239665282315,0.06876518364012339,1.0,0.16557538766516955,790,117,12
383,35,0.4247392416000366,0.09031330279042601,0.3857142925262451,0.4917785229431772,0.47924950033815467,0.03597479985628221,1.0,0.17648323726496082,0.48400663219838586,0.4613314503351774,0.021266710128665642,1.0,0.16576657385758356,627,29,12
383,89,0.5515908598899841,0.1736642656503279,2.0,0.44585009631906947,0.3570578925809758,0.054787902408474906,1.0,0.21726441099694618,0.4217004650364312,0.28073081318787935,0.05288228141892942,1.0,0.17057459135248434,494,82,12
383,144,0.439392626285553,0.12257964001494243,0.43392857909202576,0.524178765690916,0.5509903254447243,0.06473698738669835,1.0,0.1636317746727061,0.5081955076878137,0.5164095370860101,0.050997673993888354,1.0,0.17183496413383606,594,113,12
387,29,0.47296085953712463,0.09941142681824743,0.4955357313156128,0.48364130744936873,0.45665424846099834,0.06261813365393475,1.0,0.15790842286114484,0.4901967257954516,0.4747785309625475,0.04399185331855563,1.0,0.16852395154738967,416,28,12
387,84,0.44940343499183655,0.18954041828146878,2.0,0.4262633266526123,0.29966012280261534,0.028950520711644997,1.0,0.17549428797470273,0.4429678404883593,0.35223231279646133,0.02114038327160577,1.0,0.20853773092950054,737,77,12
387,138,0.6568984985351562,0.18516833193599067,0.9508928656578064,0.483010334195706,0.45754066503837554,0.04107919216852473,1.0,0.32845183593739524,0.4936879221977021,0.48339534746123386,0.041154853199792354,1.0,0.2874770091952219,449,128,12
387,193,0.49239450693130493,0.09842956663419862,0.4151785671710968,0.4901241661964336,0.475173285716466,0.0373404769318699,1.0,0.21363068627229917,0.495396146473309,0.4877087476299402,0.038043510352996156,1.0,0.21598898783999249,498,118,12
409,26,0.4615273177623749,0.08173364413909277,0.3482142686843872,0.5043266209526815,0.5087434831452299,0.03632074376361235,1.0,0.17546623373211942,0.48591130190495924,0.4660434637359341,0.019824420629165944,1.0,0.15949199592097832,534,24,12
409,81,0.48768994212150574,0.16711909076237152,2.0,0.46087925076817243,0.39934496679913867,0.05303639944103939,1.0,0.3016906667807896,0.44279080596391657,0.34938854126910585,0.045566166588682656,1.0,0.2815704351544318,560,74,12
409,135,0.8892315030097961,0.1428471808719709,0.6482142806053162,0.47651022504780766,0.4321118819963852,0.09877909080099251,1.0,0.31300920384077624,0.47844117589420887,0.44442308576792616,0.05717247020136182,1.0,0.2898895757493292,383,168,12
414,54,0.34635186195373535,0.09940659518440195,0.3776785731315613,0.45362008218860406,0.37978112888159976,0.05065285510157788,1.0,0.15475070523048765,0.4842627374546896,0.4602232132922844,0.04530111864160121,1.0,0.1811085938651016,758,46,12
414,108,0.38159385323524475,0.09746195774951925,0.4392856955528259,0.4547492471162672,0.38472019445179817,0.03439602793247581,1.0,0.27391489486420834,0.4448931844837355,0.35728936607381895,0.02911211587557897,1.0,0.2601594790606576,684,92,12
416,9,0.3820910155773163,0.10216390573064989,0.4178571403026581,0.5028429737214417,0.5048511477509181,0.042163765608631935,1.0,0.18730136723836838,0.5041265297638093,0.5068304002046367,0.05283225771921955,1.0,0.18906575431660058,383,7,12
416,64,0.5241072773933411,0.10632072568547017,0.2973214387893677,0.43850192065131854,0.33483342898776014,0.05670762853197863,1.0,0.14194586138356208,0.44297062797246634,0.35035113526256967,0.04212317962410554,1.0,0.14532836663967832,387,65,12
416,118,0.4066152274608612,0.11624024384610324,0.6321428418159485,0.4889180791566167,0.4725059217571762,0.034159813604945626,1.0,0.25711380011120466,0.48106494050341414,0.4535200859955939,0.03121395877125728,1.0,0.2320523564205667,762,123,12
