state_id,source_task_id,source_goal,goal,comparison_type,factor,action_rmse,action_first10_rmse,action_expert_final_rmse,action_head_input_rmse,velocity_executed_rmse,velocity_padding_rmse,active_head_output_rmse,padding_head_output_rmse,active_row_energy_fraction,padding_row_energy_fraction,full_output_row_energy_fraction,output_null_energy_fraction,flow_noise_exact,vlm_main_view_pooled_rmse,vlm_wrist_view_pooled_rmse,vlm_language_pooled_rmse,vlm_state_pooled_rmse,vlm_pooled_rmse,action_to_vlm_gain
task03_ep000_step0050,3,drawer,drawer,controlled_factor,paraphrase,0.10027567741616115,0.03319798462676022,0.39862515399007803,0.40720164833653316,0.3840596466509941,0.03019776070333831,0.5282712508297205,0.06810420366747845,0.020012386084439726,0.0021882183049298353,0.02222596459223879,0.9777740354077612,True,0.0008796373221371295,0.0005808022473213079,0.032107430621520536,0.045918010259180325,0.028019911939310832,3.578729213473306
task03_ep000_step0050,3,drawer,drawer,controlled_factor,contradiction,0.13369476191483118,0.0743093192625394,0.4616190302969317,0.46965843806688296,0.38644995574350044,0.03151817538993278,0.5419089667063964,0.0715267807530207,0.017167313033490228,0.0018329040465221943,0.019034790400691524,0.9809652095993084,True,0.0017390820713412544,0.0011789753586829033,0.030085300818774932,0.05176567386292442,0.029955069292133502,4.463176519840024
task03_ep000_step0050,3,drawer,drawer,controlled_factor,main_mean,0.0991911212361631,0.060952478929398306,0.45303953377763184,0.46404653417539415,0.3802248887107824,0.03245915492684106,0.5039963571574279,0.07379698850811418,0.013159438971923948,0.0019956042021076247,0.0151707607078646,0.9848292392921354,True,0.12623878854949408,0.0015354917713587542,0.02716812720082833,0.06112608847086796,0.07143720196223491,1.3885079274045506
task03_ep000_step0050,3,drawer,drawer,controlled_factor,wrist_mean,0.3234143719653976,0.10802066501541,1.017021546934264,1.0173425523162967,0.9664966977164413,0.040191384095035636,1.1068815833946728,0.09068332842088096,0.013890481270144917,0.0006270420683993287,0.014542289247472041,0.985457710752528,True,0.005790647330404485,0.148105312653573,0.04430304911331423,0.05991109743038345,0.08294699359947798,3.8990487530753972
task03_ep000_step0050,3,drawer,drawer,goal_switch,alternate_goal,0.24300934609223376,0.11469128257879241,0.5387287453489407,0.5474827161404286,0.49405827636727967,0.03420004488001858,0.715239821638891,0.07801422805112879,0.022008206819895113,0.0015835443658193421,0.02364074895800455,0.9763592510419955,True,0.0009497445784019718,0.000704383748407725,0.03664143407635411,0.07440021863242993,0.041471030234835025,5.859737380917768
task03_ep000_step0050,3,drawer,cabinet,controlled_factor,paraphrase,0.06774236493852273,0.07246128921271236,0.30096534257610497,0.3078066750917694,0.2674298576083761,0.027921560642935404,0.4332613245942403,0.0627041236099295,0.025564856620836227,0.0032651329715999624,0.028852082658016066,0.9711479173419839,True,0.0008429210658466269,0.0006052361531964873,0.02603869599191279,0.03512675083657226,0.02186880849531056,3.097670591109208
task03_ep000_step0050,3,drawer,cabinet,controlled_factor,contradiction,0.20597577738377038,0.07525469850853046,0.42273113376748805,0.4305290479446886,0.3936234481003327,0.03622184108547899,0.5838538615156992,0.08324920103327346,0.024682114637907076,0.0029514915282483167,0.027695744644272116,0.9723042553557278,True,0.0018415099500217614,0.0011694284247606812,0.03530847858714143,0.06853074439884664,0.03856134823153666,5.341508708331858
task03_ep000_step0050,3,drawer,cabinet,controlled_factor,main_mean,0.21095405018730515,0.10886738656696532,0.49558338089025533,0.5060460130878717,0.43400346236601256,0.03525590102479279,0.6547379349740057,0.07977744069140444,0.022057994958996657,0.001963214629705537,0.02406505946068514,0.9759349405393148,True,0.12624423709941365,0.0015471692740395555,0.027546454582219722,0.04000061020208309,0.06763663413817395,3.1189318166890154
task03_ep000_step0050,3,drawer,cabinet,controlled_factor,wrist_mean,0.8109563731097384,0.46192576616659903,1.1166797577202918,1.1219101747466091,1.40236290324193,0.04676386950860636,1.660704334147899,0.10414778131920392,0.02958588278517392,0.0006736408830090333,0.030268149270166297,0.9697318507298337,True,0.005971038180543293,0.1482074643945865,0.04481841619528526,0.06983551173728346,0.0849805785592923,9.542843633900672
task03_ep000_step0050,3,drawer,cabinet,goal_switch,alternate_goal,0.24300934609223376,0.11469128257879241,0.5387287453489407,0.5474827161404286,0.49405827636727967,0.03420004488001858,0.715239821638891,0.07801422805112879,0.022008206819895113,0.0015835443658193421,0.02364074895800455,0.9763592510419955,True,0.0009497445784019718,0.000704383748407725,0.03664143407635411,0.07440021863242993,0.041471030234835025,5.859737380917768
task03_ep000_step0100,3,drawer,drawer,controlled_factor,paraphrase,0.1076980342837842,0.04984847761830933,0.423569144343173,0.4399312030999983,0.37923604452248316,0.03172919005236398,0.47854282342804516,0.07280865852010276,0.014199896800977664,0.00213483777151628,0.016312958972394816,0.9836870410276052,True,0.0011178787260459943,0.0007157067287677574,0.030793234964585508,0.04557961754422608,0.02751130105988193,3.914683425889797
task03_ep000_step0100,3,drawer,drawer,controlled_factor,contradiction,0.24846492805128942,0.22962596428408025,0.5179233955699529,0.539241588081841,0.5740174141567325,0.028194445591968584,0.6815538778214293,0.06419631980125824,0.02096233259499227,0.001110805617230785,0.022092884213786548,0.9779071157862135,True,0.0021250866030430335,0.0014262701770397066,0.0284642273205101,0.06397998880807011,0.035036414787056894,7.091619663752725
task03_ep000_step0100,3,drawer,drawer,controlled_factor,main_mean,0.32239796893453426,0.10540576709112746,0.7021380083119678,0.7295581203571022,0.6134710596282711,0.034318507127919916,0.7298943902386038,0.07617030122633765,0.012525185036970954,0.0008573665028466465,0.01337482583852377,0.9866251741614762,True,0.1403758957503242,0.0026291501481634106,0.030810799620118307,0.07093038518633416,0.0801447588026196,4.022695604194599
task03_ep000_step0100,3,drawer,drawer,controlled_factor,wrist_mean,0.4712566916813072,0.7418812098713454,0.9139836256945333,0.9318912050856551,1.00982841457797,0.037612142986234984,1.165178981682317,0.08614242212918582,0.020435452140259693,0.0006660215804347969,0.02111634914194964,0.9788836508580504,True,0.004919640454503498,0.1292407272960085,0.028233419820608296,0.04547576291480403,0.06998667634209566,6.733520097136764
task03_ep000_step0100,3,drawer,drawer,goal_switch,alternate_goal,0.32175593848860207,0.4510062652569899,0.6247946989702926,0.6487675032410813,0.6684844405134107,0.024857266531279513,0.7718327484011687,0.05546734952749731,0.018712364168990876,0.0005767839131948463,0.019304880548985937,0.9806951194510141,True,0.0011506966345225954,0.0009872787230131136,0.032903179656092775,0.060949090528242426,0.03463996856855756,9.28857478181021
task03_ep000_step0100,3,drawer,cabinet,controlled_factor,paraphrase,0.17463867118385246,0.33853535336307716,0.35531915736008507,0.3722859697060373,0.36662609946745556,0.022618527618269536,0.446080810477828,0.049656693969931595,0.019756915169702537,0.001394304430989574,0.02115275178569562,0.9788472482143044,True,0.0010455246574715164,0.0009028358808236935,0.02447451565693975,0.037213123976487406,0.022280746998071536,7.838097672352186
task03_ep000_step0100,3,drawer,cabinet,controlled_factor,contradiction,0.1823693413591561,0.34851644607968413,0.4433342078435082,0.46769991874923994,0.41199666281766595,0.029629881979776247,0.5058979177107107,0.06729641284955817,0.01591983658037883,0.001624385110124778,0.017531930601702175,0.9824680693982978,True,0.0023530336414065572,0.001637920548370884,0.03305509998659392,0.06695695717783055,0.03736339552515912,4.880962738955441
