feature_set,horizon,suite,episodes,failure_prevalence,auprc,auroc,brier
vlm_final,0,libero_object,100,0.33,0.4292899662978117,0.5192220714608774,0.26205992525325505
vlm_final,0,libero_spatial,100,0.39,0.36458597780978697,0.3135771332492644,0.30831191124781143
action_expert_final,50,libero_10,100,0.56,0.7900011986670435,0.6915584415584416,0.2653028467605574
action_expert_final,50,libero_goal,100,0.17,0.4037752308434884,0.7108433734939759,0.13027845565006496
action_expert_final,50,libero_object,100,0.33,0.48659530361682557,0.6236996834011759,0.21062487828905296
action_expert_final,50,libero_spatial,100,0.39,0.6446150116240226,0.6973518284993696,0.2227074629577084
action_uncertainty,50,libero_10,100,0.56,0.6497531942005673,0.5657467532467532,0.250777780925847
action_uncertainty,50,libero_goal,100,0.17,0.141132990415312,0.3253012048192771,0.24294064135309104
action_uncertainty,50,libero_object,100,0.33,0.3255786901009625,0.45816372682044326,0.2590447262516128
action_uncertainty,50,libero_spatial,100,0.39,0.4505844922082351,0.516183270281631,0.25208578346512484
all_diagnostic_features,50,libero_10,100,0.56,0.7483971540294202,0.698051948051948,0.2645827981315035
all_diagnostic_features,50,libero_goal,100,0.17,0.31813049463650234,0.6513111268603827,0.13203135791408868
all_diagnostic_features,50,libero_object,100,0.33,0.46817969536928444,0.6983265490728178,0.2040638112464714
all_diagnostic_features,50,libero_spatial,100,0.39,0.5962462947765262,0.6855821773854561,0.22220304228731227
layer_action_expert_layer_03,50,libero_10,100,0.56,0.6262099219066154,0.5535714285714286,0.27495575506721326
layer_action_expert_layer_03,50,libero_goal,100,0.17,0.2662499132655848,0.6562721474131821,0.13596482064080095
layer_action_expert_layer_03,50,libero_object,100,0.33,0.33275471337734885,0.5133423790140208,0.22938336776765325
layer_action_expert_layer_03,50,libero_spatial,100,0.39,0.5058393521079431,0.6099201345102985,0.23918049494282823
layer_action_expert_layer_07,50,libero_10,100,0.56,0.6444544624426786,0.5957792207792207,0.28688793093648335
layer_action_expert_layer_07,50,libero_goal,100,0.17,0.25920906132897675,0.556343019135365,0.14307422413005602
layer_action_expert_layer_07,50,libero_object,100,0.33,0.553370769270761,0.642243328810493,0.20604728822073934
layer_action_expert_layer_07,50,libero_spatial,100,0.39,0.5337599160552159,0.5901639344262295,0.24436530456456354
