feature_set,failure,episodes,mean_score_step_0,mean_score_through_100,mean_score_growth,median_score_growth
action_expert_final,0,255,0.3027712002737957,0.22848946352664756,-0.07428173674714819,-0.09249108863019143
action_expert_final,1,145,0.4148723843111573,0.5361938271072315,0.12132144279607418,0.13862959022455232
action_uncertainty,0,255,0.4601211606782408,0.485405649440129,0.02528448876188814,0.025233534302504246
action_uncertainty,1,145,0.45708845074661364,0.482244450117031,0.025155999370417285,0.029528335170602382
all_diagnostic_features,0,255,0.3021936273129701,0.21790824510430032,-0.08428538220866975,-0.09635528254244077
all_diagnostic_features,1,145,0.40548411616612245,0.5481327559700843,0.1426486398039618,0.14645131589725796
layer_action_expert_layer_03,0,255,0.21626386559111427,0.27314669507918365,0.05688282948806943,0.03993348807003774
layer_action_expert_layer_03,1,145,0.2441368078983023,0.5226891238305413,0.27855231593223906,0.28000988640306285
layer_action_expert_layer_07,0,255,0.23727118755930016,0.23913859541318236,0.0018674078538822101,-0.017550205885625225
layer_action_expert_layer_07,1,145,0.2926576564616944,0.5230539522941436,0.23039629583244922,0.22541074647373788
layer_action_expert_layer_11,0,255,0.28184242130206266,0.23125197628308075,-0.05059044501898193,-0.07179082322108915
layer_action_expert_layer_11,1,145,0.355998597673955,0.5297265617575407,0.1737279640835857,0.2096974532232192
layer_action_expert_layer_15,0,255,0.3027712002737957,0.22848946352664756,-0.07428173674714819,-0.09249108863019143
layer_action_expert_layer_15,1,145,0.4148723843111573,0.5361938271072315,0.12132144279607418,0.13862959022455232
layer_vlm_layer_03,0,255,0.29457954329468133,0.2627057822598135,-0.03187376103486782,-0.0006434264531177472
layer_vlm_layer_03,1,145,0.3656438473402478,0.5197428813725189,0.15409903403227115,0.13715536666184028
layer_vlm_layer_07,0,255,0.27459135034884635,0.26558518773947903,-0.00900616260936729,0.013294499529076381
layer_vlm_layer_07,1,145,0.34858750414925666,0.5191787252313305,0.17059122108207378,0.18005100129123286
layer_vlm_layer_11,0,255,0.29511998473191353,0.26979533243930504,-0.025324652292608465,-0.0028134457325001624
layer_vlm_layer_11,1,145,0.3657554946125879,0.5235721360904776,0.15781664147788965,0.15311801135813521
layer_vlm_layer_15,0,255,0.29228106456567077,0.26831557147424295,-0.023965493091427818,0.005420267083626536
layer_vlm_layer_15,1,145,0.34721740743228596,0.5173247158985395,0.17010730846625344,0.16413118039523927
majority_baseline,0,255,0.36424019607843133,0.36424019607843133,0.0,0.0
majority_baseline,1,145,0.3594396551724138,0.3594396551724138,0.0,0.0
policy_output,0,255,0.4654423246487562,0.3773303390336861,-0.08811198561507007,-0.08988998848232072
policy_output,1,145,0.4959683403878842,0.46736097257046455,-0.02860736781741958,-0.04044823259374658
robot_state,0,255,0.31408549251498596,0.37122130237300915,0.057135809858023176,0.05018253189099442
robot_state,1,145,0.37139580595281046,0.45161561372046233,0.08021980776765193,0.06668174928916065
vlm_action_expert,0,255,0.31150786339346775,0.21881212859552376,-0.09269573479794395,-0.10046435793251571
vlm_action_expert,1,145,0.4242953257420971,0.5489699628627605,0.1246746371206634,0.13457201392478513
vlm_final,0,255,0.29228106456567077,0.26831557147424295,-0.023965493091427818,0.005420267083626536
vlm_final,1,145,0.34721740743228596,0.5173247158985395,0.17010730846625344,0.16413118039523927
