state_id,env_step,condition,action_rmse,action_first10_rmse,prefix_embedding_rmse,vlm_last_layer_rmse,action_expert_last_layer_rmse,action_to_vlm_gain,action_expert_to_vlm_gain,velocity_mean_rmse,kv_key_norm_rmse,action_head_input_rmse,active_head_output_rmse,padding_head_output_rmse,active_row_energy_fraction,padding_row_energy_fraction,full_output_row_energy_fraction,output_null_energy_fraction
libero_goal_task03_ep000_seed0_step0050,50,paraphrase,0.3330953733640096,0.3448667076637634,1.023744821548462,0.03585154563188553,0.4247830006069502,9.29096270448553,11.848387374104119,0.18774021150258347,3.0087459568345247,0.42514865923562645,0.6198455150161994,0.07731666122197954,0.027211549159964245,0.002596017552354452,0.02983901235727143,0.9701609876427286
libero_goal_task03_ep000_seed0_step0050,50,alternate_goal,0.8593243163751417,0.5573651464344527,1.068056344985962,0.033244840800762177,0.8695209018180085,25.848351072730683,26.15506288717357,0.4324410721637929,1.7280450575042436,0.8677119226183219,1.2678625698153403,0.07336356360948307,0.03186040942166679,0.0005588567211373108,0.03247744638466671,0.9675225536153333
libero_goal_task03_ep000_seed0_step0050,50,main_mean,0.2868577143916009,0.3069639627342844,166.822021484375,0.13358083367347717,0.3830575689632239,2.1474466546060884,2.8676087611458065,0.15977606992326004,1.770682491139368,0.38221617609072245,0.6378498259001636,0.060698555402421694,0.03472112777654958,0.0019907613434136475,0.036783655631418805,0.9632163443685812
libero_goal_task03_ep000_seed0_step0050,50,wrist_mean,0.2953993618189261,0.26491912018823893,154.82763671875,0.12777166068553925,0.37178541563005696,2.311931771364684,2.909764290730036,0.16793478249667104,1.6901998216686014,0.37217760121452587,0.6334533048894441,0.05131161815941097,0.037469729862487804,0.0014846955832704689,0.038995021111708654,0.9610049788882914
libero_goal_task03_ep000_seed0_step0100,100,paraphrase,0.5672917134111776,0.2360874977811691,1.023744821548462,0.036101486533880234,0.5598159107498073,15.713804828474036,15.506727409256008,0.3241577918588755,3.1002161837311757,0.5655863667215107,1.1094023522660423,0.07491765246644491,0.057451978006376504,0.0013712612381399565,0.058904980802344686,0.9410950191976553
libero_goal_task03_ep000_seed0_step0100,100,alternate_goal,1.419439923308529,1.1455694061182493,1.068056344985962,0.03277949243783951,1.0657346089589446,43.30268157752122,32.51223645332279,0.6997405743093474,1.8040065909270047,1.0640478127404183,1.8174401871157406,0.09636396138632011,0.04021388658529201,0.0006426111662672398,0.040902813040484674,0.9590971869595153
libero_goal_task03_ep000_seed0_step0100,100,main_mean,0.5159544159258688,0.3764187801355992,164.0135955810547,0.13649706542491913,0.5626051499409527,3.7799670954074247,4.121738062203369,0.29282502115516945,1.779884046980437,0.56628508888296,1.1729263353726616,0.06667798904263551,0.06781156961900901,0.0010868103402986203,0.06898175295985831,0.9310182470401417
libero_goal_task03_ep000_seed0_step0100,100,wrist_mean,0.5900824248660566,0.5542628587039746,141.28489685058594,0.12173106521368027,0.5831268889161987,4.847426774999932,4.790288229981464,0.33048795515932844,1.6542227128088862,0.5845952966156771,1.3174063580875779,0.0714227623033432,0.0805266916770967,0.0011650250735994446,0.08172349407576698,0.918276505924233
libero_goal_task03_ep001_seed1_step0050,50,paraphrase,0.34066764323914234,0.3737527194680654,1.023744821548462,0.03583677485585213,0.43318506618730374,9.506091008731259,12.087724632858942,0.18735910469092135,3.035655061730202,0.4321730936799731,0.587725428792456,0.0762917477328758,0.023893863440267706,0.0024506767935029254,0.026348061690105524,0.9736519383098945
libero_goal_task03_ep001_seed1_step0050,50,alternate_goal,0.8763377174721082,0.6540553110266486,1.068056344985962,0.03282694146037102,0.8423338512518417,26.69568587527507,25.65983347150129,0.44206757552453174,1.760599207468039,0.8400760856160003,1.3400781083787907,0.07752999715414732,0.037267402212551634,0.0006700583172773491,0.03796170195629935,0.9620382980437007
libero_goal_task03_ep001_seed1_step0050,50,main_mean,0.30950584164963885,0.3420886382606095,162.15286254882812,0.13308404386043549,0.394313425885933,2.325641997880797,2.9628903243986735,0.17005057535827367,1.746251395403299,0.39322280587645797,0.6644904814603078,0.05697678945115984,0.03618246206878636,0.001657202682352858,0.03791742254652586,0.9620825774534741
libero_goal_task03_ep001_seed1_step0050,50,wrist_mean,0.271681516431169,0.28084260632658076,155.26348876953125,0.12856510281562805,0.3532630255510438,2.1131824303892213,2.747736499364445,0.15808266610487623,1.7164651337372496,0.35302111686117205,0.6280040283852703,0.05630235966219962,0.04076670783693294,0.0019932024861695967,0.0428139329561508,0.9571860670438492
