state_id,episode_id,env_step,rollout_success,condition,noise_seed,action_chunk_rms,archive_chunk_rmse,flow_noise_sha256
libero_goal_task03_ep001_seed1_step0050,libero_goal_task03_ep001_seed1,50,True,main_mean,101,0.6456276774406433,0.29755865363970074,33283816b0faacbe9fd52819f0033cde5e165ca1e93d191693a1b4ecd029a173
libero_goal_task03_ep001_seed1_step0050,libero_goal_task03_ep001_seed1,50,True,wrist_mean,101,0.721195638179779,0.3221414480054479,33283816b0faacbe9fd52819f0033cde5e165ca1e93d191693a1b4ecd029a173
libero_goal_task03_ep001_seed1_step0100,libero_goal_task03_ep001_seed1,100,True,original,101,0.6621456146240234,0.73794325887404,33283816b0faacbe9fd52819f0033cde5e165ca1e93d191693a1b4ecd029a173
libero_goal_task03_ep001_seed1_step0100,libero_goal_task03_ep001_seed1,100,True,original,202,0.6747274398803711,0.698943251800137,148e9ff6ab95498cc608e256be14834da739796dacb1e2447defccd4894c18e3
libero_goal_task03_ep001_seed1_step0100,libero_goal_task03_ep001_seed1,100,True,original,303,0.6719136834144592,0.7420876669506171,5ee2e7d8575ebc8a1392f1e9eecb71af41fcc2e8bd745bee51963f7d73bda2ea
libero_goal_task03_ep001_seed1_step0100,libero_goal_task03_ep001_seed1,100,True,original,404,0.6530572772026062,0.7337953420462233,b20dfec0e643ea9c941f1475aaf9e9615914f7cd9cb9596b22007b25f8836215
libero_goal_task03_ep001_seed1_step0100,libero_goal_task03_ep001_seed1,100,True,repeat_original,101,0.6621456146240234,0.73794325887404,33283816b0faacbe9fd52819f0033cde5e165ca1e93d191693a1b4ecd029a173
libero_goal_task03_ep001_seed1_step0100,libero_goal_task03_ep001_seed1,100,True,paraphrase,101,0.5621063709259033,0.5831778458926175,33283816b0faacbe9fd52819f0033cde5e165ca1e93d191693a1b4ecd029a173
libero_goal_task03_ep001_seed1_step0100,libero_goal_task03_ep001_seed1,100,True,alternate_goal,101,0.9402233362197876,0.4519394719411721,33283816b0faacbe9fd52819f0033cde5e165ca1e93d191693a1b4ecd029a173
libero_goal_task03_ep001_seed1_step0100,libero_goal_task03_ep001_seed1,100,True,main_mean,101,0.6488745808601379,0.7464991696478234,33283816b0faacbe9fd52819f0033cde5e165ca1e93d191693a1b4ecd029a173
libero_goal_task03_ep001_seed1_step0100,libero_goal_task03_ep001_seed1,100,True,wrist_mean,101,0.7163805365562439,0.7849013107674868,33283816b0faacbe9fd52819f0033cde5e165ca1e93d191693a1b4ecd029a173
