state_id,condition,action_rmse,action_first10_rmse,prefix_embedding_rmse,vlm_last_layer_rmse,action_expert_last_layer_rmse,velocity_mean_rmse,kv_key_norm_rmse
libero_goal_task03_ep000_seed0_step0050,paraphrase,0.3330953733640096,0.3448667076637634,1.023744821548462,0.03585154563188553,0.4247830006069502,0.18774021150258347,3.0087459568345247
libero_goal_task03_ep000_seed0_step0050,alternate_goal,0.8593243163751417,0.5573651464344527,1.068056344985962,0.033244840800762177,0.8695209018180085,0.4324410721637929,1.7280450575042436
libero_goal_task03_ep000_seed0_step0050,main_mean,0.2868577143916009,0.3069639627342844,166.822021484375,0.13358083367347717,0.3830575689632239,0.15977606992326004,1.770682491139368
libero_goal_task03_ep000_seed0_step0050,wrist_mean,0.2953993618189261,0.26491912018823893,154.82763671875,0.12777166068553925,0.37178541563005696,0.16793478249667104,1.6901998216686014
libero_goal_task03_ep000_seed0_step0100,paraphrase,0.5672917134111776,0.2360874977811691,1.023744821548462,0.036101486533880234,0.5598159107498073,0.3241577918588755,3.1002161837311757
libero_goal_task03_ep000_seed0_step0100,alternate_goal,1.419439923308529,1.1455694061182493,1.068056344985962,0.03277949243783951,1.0657346089589446,0.6997405743093474,1.8040065909270047
libero_goal_task03_ep000_seed0_step0100,main_mean,0.5159544159258688,0.3764187801355992,164.0135955810547,0.13649706542491913,0.5626051499409527,0.29282502115516945,1.779884046980437
libero_goal_task03_ep000_seed0_step0100,wrist_mean,0.5900824248660566,0.5542628587039746,141.28489685058594,0.12173106521368027,0.5831268889161987,0.33048795515932844,1.6542227128088862
libero_goal_task03_ep001_seed1_step0050,paraphrase,0.34066764323914234,0.3737527194680654,1.023744821548462,0.03583677485585213,0.43318506618730374,0.18735910469092135,3.035655061730202
libero_goal_task03_ep001_seed1_step0050,alternate_goal,0.8763377174721082,0.6540553110266486,1.068056344985962,0.03282694146037102,0.8423338512518417,0.44206757552453174,1.760599207468039
libero_goal_task03_ep001_seed1_step0050,main_mean,0.30950584164963885,0.3420886382606095,162.15286254882812,0.13308404386043549,0.394313425885933,0.17005057535827367,1.746251395403299
libero_goal_task03_ep001_seed1_step0050,wrist_mean,0.271681516431169,0.28084260632658076,155.26348876953125,0.12856510281562805,0.3532630255510438,0.15808266610487623,1.7164651337372496
libero_goal_task03_ep001_seed1_step0100,paraphrase,0.6909045815677765,0.65751464393535,1.023744821548462,0.036002106964588165,0.649732487760981,0.40157401008810234,2.9602812912267757
libero_goal_task03_ep001_seed1_step0100,alternate_goal,1.4598073879312556,1.108760132603091,1.068056344985962,0.03281417489051819,1.0879194309391083,0.7096902450106484,1.6522792526623085
libero_goal_task03_ep001_seed1_step0100,main_mean,0.3415009656556522,0.4633882077589609,163.01950073242188,0.13821491599082947,0.4496069081553699,0.2145109865298797,1.7878336951088072
libero_goal_task03_ep001_seed1_step0100,wrist_mean,0.3722177626719582,0.5002392006582007,135.47572326660156,0.12441710382699966,0.41026051317481027,0.22633210272349338,1.6362925749750223
