state_id,condition,layer,span,vlm_rmse
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,observation.images.camera1,0.0006472148234024644
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,observation.images.camera2,0.0005904719582758844
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,observation.language,0.1594073325395584
libero_goal_task03_ep000_seed0_step0050,paraphrase,3,observation.state,0.021874036639928818
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,observation.images.camera1,0.0012676058104261756
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,observation.images.camera2,0.0009823396103456616
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,observation.language,0.14587731659412384
libero_goal_task03_ep000_seed0_step0050,paraphrase,7,observation.state,0.037737417966127396
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,observation.images.camera1,0.0017947045853361487
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,observation.images.camera2,0.001375596271827817
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,observation.language,0.15352194011211395
libero_goal_task03_ep000_seed0_step0050,paraphrase,11,observation.state,0.04499680921435356
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,observation.images.camera1,0.0022273750510066748
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,observation.images.camera2,0.00166105548851192
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,observation.language,0.13921241462230682
libero_goal_task03_ep000_seed0_step0050,paraphrase,15,observation.state,0.04591801017522812
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,observation.images.camera1,0.0007726990734227002
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,observation.images.camera2,0.0006891947123222053
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,observation.language,0.17204588651657104
libero_goal_task03_ep000_seed0_step0050,alternate_goal,3,observation.state,0.057714786380529404
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,observation.images.camera1,0.0013658934039995074
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,observation.images.camera2,0.001048160600475967
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,observation.language,0.16135664284229279
libero_goal_task03_ep000_seed0_step0050,alternate_goal,7,observation.state,0.0888572558760643
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,observation.images.camera1,0.0018852812936529517
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,observation.images.camera2,0.0014855765039101243
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,observation.language,0.16212014853954315
libero_goal_task03_ep000_seed0_step0050,alternate_goal,11,observation.state,0.08620063960552216
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,observation.images.camera1,0.0023187720216810703
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,observation.images.camera2,0.0017777393804863095
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,observation.language,0.12966786324977875
libero_goal_task03_ep000_seed0_step0050,alternate_goal,15,observation.state,0.07440021634101868
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,3,observation.images.camera1,0.0008215284324251115
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,3,observation.images.camera2,0.0006947619840502739
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,3,observation.language,0.19391052424907684
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,3,observation.state,0.032618362456560135
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,7,observation.images.camera1,0.0016423433553427458
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,7,observation.images.camera2,0.0011356911854818463
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,7,observation.language,0.1733619123697281
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,7,observation.state,0.051477085798978806
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,11,observation.images.camera1,0.002472262131050229
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,11,observation.images.camera2,0.0017283061752095819
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,11,observation.language,0.18150663375854492
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,11,observation.state,0.0585823580622673
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,15,observation.images.camera1,0.003190748393535614
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,15,observation.images.camera2,0.0022508662659674883
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,15,observation.language,0.1630830466747284
libero_goal_task03_ep000_seed0_step0050,contradictory_alternate_goal,15,observation.state,0.05581894516944885
