state_id,env_step,representation,distance_to_original,distance_to_alternate,alternate_alignment
libero_goal_task03_ep000_seed0_step0050,50,action_chunk,0.3700401091469357,0.3522711448627493,0.024600148738577098
libero_goal_task03_ep000_seed0_step0050,50,vlm_last_layer,0.044077467173337936,0.03966034576296806,0.052749424130884515
libero_goal_task03_ep000_seed0_step0050,50,action_expert_last_layer,0.48552468538385224,0.42273113376748805,0.06913641541546904
libero_goal_task03_ep000_seed0_step0100,100,action_chunk,0.5575715765304248,0.3900461774362955,0.176785838375093
libero_goal_task03_ep000_seed0_step0100,100,vlm_last_layer,0.0428602434694767,0.037499815225601196,0.06670513101807668
libero_goal_task03_ep000_seed0_step0100,100,action_expert_last_layer,0.5423993407850558,0.4433342078435082,0.1004988955477628
libero_goal_task03_ep001_seed1_step0050,50,action_chunk,0.38323128842949594,0.30271423343705584,0.11738112200709783
libero_goal_task03_ep001_seed1_step0050,50,vlm_last_layer,0.04429198056459427,0.039471711963415146,0.05754603761728021
libero_goal_task03_ep001_seed1_step0050,50,action_expert_last_layer,0.49200609529788786,0.40962278034608957,0.09137164655796656
libero_goal_task03_ep001_seed1_step0100,100,action_chunk,0.3826350179390593,0.3138547742052247,0.09875269459740509
libero_goal_task03_ep001_seed1_step0100,100,vlm_last_layer,0.0431089773774147,0.037910524755716324,0.06416297909553055
libero_goal_task03_ep001_seed1_step0100,100,action_expert_last_layer,0.4391610721923092,0.38463223016349785,0.0661923832991539
