feature_set,landmark,episodes_at_risk,failure_prevalence,auprc,normalized_auprc_gain,auroc,within_task_pairwise_auc,brier,log_loss
lowres_current_pixels,0,400,0.3625,0.5322696845684479,0.2663053875583497,0.6324543610547668,0.6067415730337079,0.22812462664832722,0.6511435850076133
visual_behavioral_context,0,400,0.3625,0.5148169723736182,0.23892858411547963,0.6095740365111562,0.579454253611557,0.23675800567368616,0.6685248133121289
visual_behavioral_context_plus_action_expert,0,400,0.3625,0.5111862605484252,0.2332333498798827,0.6176064908722109,0.5762439807383628,0.2340461574808736,0.6646031673461388
visual_behavioral_context_plus_vlm,0,400,0.3625,0.504407443831809,0.2225999118930338,0.6014063556457065,0.5521669341894061,0.24201440832642176,0.6838087689511994
robot_state,0,400,0.3625,0.47674564344194914,0.17920885245795948,0.5612981744421908,0.5377207062600321,0.24701545692016022,0.6875560447227209
action_expert_final,0,400,0.3625,0.47382662828827704,0.17463000515808166,0.5965111561866125,0.5345104333868379,0.2414618447292972,0.6771191638697749
vlm_final,0,400,0.3625,0.4657898718398507,0.16202332837623643,0.6171467207572684,0.5168539325842697,0.23650644837094148,0.6665280682548805
behavioral_context_plus_action_expert,0,400,0.3625,0.4585353149599612,0.15064363130974306,0.5929141311697093,0.5457463884430177,0.244481839488639,0.6865136035016718
behavioral_context_plus_vlm,0,400,0.3625,0.4430145185794797,0.1262972840462427,0.580446247464503,0.5296950240770465,0.24765967438170391,0.6930688552506189
executed_action_prefix,0,400,0.3625,0.3625,0.0,0.5,0.5,0.25,0.6931471805599452
lowres_pixel_change,0,400,0.3625,0.3625,0.0,0.5,0.5,0.25,0.6931471805599452
behavioral_context,0,400,0.3625,0.35402176315594763,-0.013299195049493893,0.5150507099391481,0.5200642054574639,0.2599104379864981,0.7173409132693525
ordered_action_chunk,0,400,0.3625,0.3439552239841847,-0.029089844730690637,0.49820148749154824,0.4895666131621188,0.2629652931369997,0.7242547707889334
vlm_final,50,400,0.3625,0.6474433910128029,0.4469700251181222,0.772467883705206,0.7768860353130016,0.19603227664853634,0.5806052692551765
behavioral_context_plus_vlm,50,400,0.3625,0.636388081709008,0.4296283634651106,0.7779580797836376,0.7929373996789727,0.194728810392035,0.5802390334645755
action_expert_final,50,400,0.3625,0.6286463002760168,0.4174843925898303,0.7381473968897905,0.797752808988764,0.20276316238362357,0.5876847035766
visual_behavioral_context_plus_vlm,50,400,0.3625,0.5820763095259878,0.3444334267074318,0.7216497633536173,0.7608346709470305,0.22003231913630217,0.8390129924495467
visual_behavioral_context_plus_action_expert,50,400,0.3625,0.5569287010039174,0.3049861976532039,0.7010953346855985,0.7656500802568218,0.22827525742588606,0.9358027015039667
behavioral_context_plus_action_expert,50,400,0.3625,0.5100012279652567,0.2313744752396184,0.683867478025693,0.7881219903691814,0.2379626433225443,0.693263623709963
visual_behavioral_context,50,400,0.3625,0.5031788032404012,0.22067263253396271,0.6533333333333333,0.6613162118780096,0.2495892955551731,1.0564050229545856
lowres_pixel_change,50,400,0.3625,0.4700176126680258,0.16865507869494242,0.6102501690331305,0.5666131621187801,0.2618578035021926,1.317398807987123
robot_state,50,400,0.3625,0.45763223875017744,0.14922704117674895,0.5666801893171061,0.5762439807383628,0.23743641028229792,0.6669820879293382
behavioral_context,50,400,0.3625,0.450100194799722,0.1374120702740738,0.6358891142663963,0.6597110754414125,0.24142029312656021,0.682617923321777
lowres_current_pixels,50,400,0.3625,0.4275157147170253,0.10198543485023583,0.6081947261663285,0.6019261637239165,0.2588348119224401,0.7378798815639278
ordered_action_chunk,50,400,0.3625,0.42306061725559646,0.09499704667544545,0.6302096010818119,0.6741573033707865,0.2385512582086838,0.6685682794230757
executed_action_prefix,50,400,0.3625,0.3439552239841847,-0.029089844730690637,0.49820148749154824,0.4895666131621188,0.2629652931369997,0.7242547707889334
behavioral_context_plus_vlm,100,319,0.45454545454545453,0.8826301526242052,0.7848219464777096,0.890764962346413,0.8625498007968128,0.1409068746432055,0.4336839773574212
behavioral_context_plus_action_expert,100,319,0.45454545454545453,0.8821622889995849,0.7839641964992391,0.890764962346413,0.8426294820717132,0.1371343396064027,0.4352557343733677
action_expert_final,100,319,0.45454545454545453,0.8780853787980962,0.7764898611298432,0.8676179151803408,0.796812749003984,0.14735714644537434,0.4558164025380602
vlm_final,100,319,0.45454545454545453,0.8420542092126453,0.7104327168898498,0.865200158541419,0.8366533864541833,0.15347138439733504,0.4697784325030928
behavioral_context,100,319,0.45454545454545453,0.8025761685705721,0.6380563090460489,0.8213238208481966,0.8027888446215139,0.17683882295980705,0.5320768337244732
ordered_action_chunk,100,319,0.45454545454545453,0.7437038143089195,0.5301236595663525,0.764843440348791,0.7928286852589641,0.19794357645546568,0.5811986223114104
visual_behavioral_context_plus_vlm,100,319,0.45454545454545453,0.7433299983736155,0.5294383303516285,0.8424891002774475,0.8386454183266933,0.16266173807435216,0.6609866942405609
lowres_current_pixels,100,319,0.45454545454545453,0.7214686941687372,0.48935927264268486,0.7741973840665873,0.7310756972111554,0.19218248092987317,0.5825595738161141
visual_behavioral_context_plus_action_expert,100,319,0.45454545454545453,0.7172997417482382,0.4817161932051034,0.8279825604439159,0.848605577689243,0.1667260483425988,0.6813389659272806
visual_behavioral_context,100,319,0.45454545454545453,0.6616522858572291,0.3796958574049201,0.7817281014665082,0.8266932270916335,0.1933688088128997,0.7683143502780274
executed_action_prefix,100,319,0.45454545454545453,0.610192035936467,0.28535206588352285,0.6352358303606818,0.6892430278884463,0.2369251529256342,0.6719582078963815
robot_state,100,319,0.45454545454545453,0.6074933235749954,0.2804044265541583,0.6952041220768925,0.7749003984063745,0.22661524712465209,0.646515620346838
lowres_pixel_change,100,319,0.45454545454545453,0.5117740443149282,0.10491908124403514,0.611850971066191,0.6992031872509961,0.27209900666466236,1.146382882113232
