candidate_id,layout,root_state_sha256,normalized_state_sha256,certificate_pass,support_distance,registration_translation_norm_m,registration_translation_xyz_m,bridge_pass,bridge_active_action_steps,bridge_bowl_drift_m,goal_ever_achieved,first_goal_source_frame,executed_action_steps,executed_source_action_steps,eef_path_length_m,motion_control_effort
stagea__drawer-open__possession-on-table__locus-drawer-side__support-transverse-low-support__layout-a,A,af2e6ead2e84b76012bbe45c3e4e54b5dcef31f96d88f87c299668e09b42d8ae,818f7f665ee4d688073f9b3357a6162594be791fea400b27fe281613a6bf947c,True,0.5826856804590246,0.0,"[0.0, 0.0, 0.0]",True,11,0.0,True,83,623,83,1.1680065418884171,93.74287177622318
stagea__drawer-open__possession-on-table__locus-drawer-side__support-transverse-low-support__layout-b,B,f7ba460ba36b0ddb65e207351719e95f35f996aa3d8f23a07b551875d823545d,9111df1eff410402e943b2c666e9bbe354e39f95b82c18e3dc90fd313d36d4be,True,0.58090093115186,0.01737156671271895,"[-0.01693335842018376, -0.003877202943880661, 0.0]",True,16,0.0,True,79,619,79,1.1522276164546064,91.89877574145794
