source_episode_index,source_start_frame,standardized_rmse,raw_rmse,max_abs_difference,training_episode_index,training_start_frame,training_task_index
382,0,0.4360032081604004,0.07060129546148373,0.23839285969734192,624,1,12
382,54,0.5508105158805847,0.1465027612422801,0.6053571701049805,409,67,12
382,108,0.44953933358192444,0.07164485294432954,0.2517857253551483,790,117,12
383,35,0.4247392416000366,0.09031330279042601,0.3857142925262451,627,29,12
383,89,0.5515908598899841,0.1736642656503279,2.0,494,82,12
383,144,0.439392626285553,0.12257964001494243,0.43392857909202576,594,113,12
387,29,0.47296085953712463,0.09941142681824743,0.4955357313156128,416,28,12
387,84,0.44940343499183655,0.18954041828146878,2.0,737,77,12
387,138,0.6568984985351562,0.18516833193599067,0.9508928656578064,449,128,12
387,193,0.49239450693130493,0.09842956663419862,0.4151785671710968,498,118,12
409,26,0.4615273177623749,0.08173364413909277,0.3482142686843872,534,24,12
409,81,0.48768994212150574,0.16711909076237152,2.0,560,74,12
409,135,0.8892315030097961,0.1428471808719709,0.6482142806053162,383,168,12
414,54,0.34635186195373535,0.09940659518440195,0.3776785731315613,758,46,12
414,108,0.38159385323524475,0.09746195774951925,0.4392856955528259,684,92,12
416,9,0.3820910155773163,0.10216390573064989,0.4178571403026581,383,7,12
416,64,0.5241072773933411,0.10632072568547017,0.2973214387893677,387,65,12
416,118,0.4066152274608612,0.11624024384610324,0.6321428418159485,762,123,12
449,23,0.33879661560058594,0.0617450935213384,0.28125,742,21,12
449,77,0.4748477041721344,0.2104060441201824,2.0,538,73,12
449,132,0.7261485457420349,0.21796378738822678,1.0928571224212646,387,142,12
449,186,0.431281715631485,0.08421061028780394,0.2919642925262451,624,119,12
462,41,0.4296150505542755,0.10438915260549292,0.5196428894996643,758,39,12
462,95,0.5921270847320557,0.1865907188768058,2.0,758,101,12
465,0,0.41066494584083557,0.08849516860919585,0.44732141494750977,762,0,12
465,54,0.6543041467666626,0.14129927833163194,0.6053571701049805,762,54,12
465,109,0.5468496680259705,0.171663466369365,2.0,701,91,12
465,163,0.5973524451255798,0.32458305979252533,2.0,548,130,12
489,40,0.5887678265571594,0.0891425857110193,0.375,416,44,12
489,94,0.43848899006843567,0.09770311483026912,0.4178571105003357,534,87,12
494,2,0.21169164776802063,0.06495486509605673,0.2651785612106323,559,0,12
494,57,0.5079306364059448,0.09351281843515971,0.3642857074737549,414,63,12
494,111,0.41281789541244507,0.08122674445677165,0.3482142984867096,614,94,12
498,16,0.3785351514816284,0.07209906988359631,0.388392835855484,614,14,12
498,70,0.39079540967941284,0.1430768855143151,2.0,737,69,12
498,125,0.5195235013961792,0.09930656721735955,0.36964285373687744,387,200,12
523,38,0.4183366894721985,0.0799276059587057,0.3321428894996643,624,36,12
523,93,0.3712940216064453,0.0797538532109063,0.361607164144516,737,93,12
523,147,0.6035665273666382,0.1906939127105627,2.0,489,136,12
526,49,0.47953999042510986,0.1366393575823666,0.8330357074737549,701,57,12
526,103,0.5364940762519836,0.13313786386288,2.0,594,106,12
534,29,0.3045254647731781,0.08038326552078649,0.38035714626312256,758,26,12
534,83,0.4087912142276764,0.08588907502710273,0.3776785731315613,737,88,12
534,137,0.5054841041564941,0.19671747942662554,2.0,737,142,12
538,53,0.5707296133041382,0.11146516883818769,0.3776785731315613,414,60,12
538,107,0.6386131048202515,0.12802599735527392,0.31339287757873535,462,99,12
538,162,1.0063565969467163,0.28832933920793113,2.0,576,120,12
548,44,0.7373791933059692,0.08043716569283425,0.30267858505249023,576,40,12
548,99,0.5220311880111694,0.09693389710470568,0.3080357015132904,790,99,12
559,16,0.21532821655273438,0.06303845483552377,0.2651785612106323,494,18,12
559,71,0.30795520544052124,0.07351848312590042,0.28125,684,68,12
559,125,0.4946737289428711,0.25896234969606585,2.0,737,135,12
560,47,0.4028998017311096,0.09569124044844489,0.5544642806053162,534,55,12
560,101,0.5153492093086243,0.15981679859657918,2.0,409,106,12
576,21,0.459739625453949,0.08393646279981462,0.4392857253551483,559,24,12
576,75,0.3479548692703247,0.08506873148376723,0.5089285969734192,559,84,12
594,9,0.4412959814071655,0.12413249034214852,0.4848214387893677,790,12,12
594,63,0.3637460470199585,0.16613402499923077,2.0,737,74,12
594,117,0.41436174511909485,0.11465010927188557,0.39642858505249023,383,148,12
614,43,0.4739872217178345,0.08721820439447482,0.4580357074737549,758,40,12
614,97,0.33547791838645935,0.09360215280181051,0.39642858505249023,762,119,12
624,25,0.2926103174686432,0.09482409434361957,0.31607145071029663,684,27,12
624,79,0.3665793836116791,0.09167844578644424,0.4178571403026581,559,79,12
627,0,0.4187873303890228,0.08114845135356664,0.3776785433292389,494,1,12
627,54,0.49638715386390686,0.15157136630280668,0.6723214387893677,594,45,12
627,109,0.66660076379776,0.12066972174098377,0.48750001192092896,416,110,12
684,28,0.28205886483192444,0.07234788589791151,0.3107143044471741,559,27,12
684,83,0.3935585916042328,0.08043670481128966,0.3455357253551483,559,86,12
694,2,0.26938024163246155,0.0797342027155865,0.34017857909202576,414,9,12
694,57,0.6148819327354431,0.15852690300557745,0.7928571105003357,701,71,12
694,111,0.5593418478965759,0.12253634459663405,0.5169642567634583,416,132,12
701,41,0.41753652691841125,0.09201572074058155,0.39642858505249023,758,39,12
701,96,0.4956331253051758,0.13856669524569848,0.6214285492897034,526,77,12
711,1,0.2673566937446594,0.07291200978033625,0.24107146263122559,684,3,12
711,56,0.379810094833374,0.10467015666703758,0.6883928775787354,534,57,12
711,110,0.6045389175415039,0.23197290525756703,2.0,416,96,12
711,165,0.4702190160751343,0.14654331013804633,2.0,790,102,12
737,17,0.4658619463443756,0.09494058638275803,0.3589285612106323,534,15,12
737,72,0.3516078293323517,0.08717753215682673,0.40714284777641296,498,74,12
737,126,0.32880330085754395,0.06253836469479371,0.21964287757873535,790,116,12
738,36,0.4533531665802002,0.1255545438444212,0.36964285373687744,560,31,12
738,90,0.4878179132938385,0.17233914735651681,2.0,382,73,12
738,145,0.5476068258285522,0.09130877991798816,0.3321428596973419,462,137,12
742,29,0.37403130531311035,0.07650636933447487,0.35357144474983215,449,31,12
742,84,0.4255964159965515,0.10500359989134071,0.4580357074737549,576,74,12
758,0,0.26842302083969116,0.07787929823955593,0.3991071283817291,534,0,12
758,54,0.3470882773399353,0.0912654746655009,0.3776785731315613,414,62,12
758,109,0.46064284443855286,0.11992612322022639,0.5571428537368774,382,94,12
762,3,0.3988083004951477,0.0821333096748472,0.3776785731315613,489,0,12
762,58,0.46378931403160095,0.12294079561070523,0.5008928775787354,758,50,12
762,112,0.3773978352546692,0.1441724540344796,2.0,614,91,12
782,14,0.33196863532066345,0.09218485438759534,0.6696428656578064,534,14,12
782,68,0.638651967048645,0.11955735594193252,0.5517857074737549,762,68,12
782,123,1.6220238208770752,0.3294911382093427,2.0,784,102,12
784,11,0.4069836735725403,0.09506967242097737,0.3642857074737549,494,9,12
784,66,0.5428339242935181,0.13679196316906417,0.5598214268684387,560,57,12
784,120,0.5756198167800903,0.13657864602330547,0.46875,560,113,12
790,28,0.3077658414840698,0.07883111061217742,0.5357142686843872,559,28,12
790,82,0.42850610613822937,0.07603040351130382,0.3642857074737549,594,78,12
790,137,0.610069215297699,0.2264318514467537,2.0,382,127,12
