planned_goal_mismatches,planned_recovery_mismatch,realized_goal_mismatches,realized_recovery_mismatch,support_distance_difference,support_pair_id
"[6.696132135235581e-16, 7.10747460513339e-16]",0.06249396055373678,"[0.0030068437511257553, 0.0022323141677924323]",0.0585448827358486,0.0004824239988814316,drawer-open__possession-grasped__locus-cabinet-side__layout-a
"[1.1832676108201082e-16, 1.481711295147427e-16]",0.07999999999999995,"[0.004652577954971444, 0.0017516999207045885]",0.08214492964593029,-0.06767135889012332,drawer-open__possession-grasped__locus-drawer-side__layout-a
"[2.3665352216402164e-16, 1.4636695185433683e-16]",0.07999999999999924,"[0.0005163666558539961, 0.00019805133451822142]",0.07646587542276369,-0.053911280664280525,drawer-open__possession-grasped__locus-drawer-side__layout-b
