source_condition,target_condition,feature_set,horizon,episodes,prediction_coverage,estimable,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared,mean_failure_probability
clean,instruction_paraphrase,action_expert_final,0,90,1.0,True,0.36666666666666664,0.43880048812763983,0.5491759702286019,0.2874035788904623,0.40245782746271086,0.5162147793726741,0.514792899408284,8,169,0.8833960260224969,0.4390330358381963
clean,instruction_paraphrase,action_uncertainty,0,90,1.0,True,0.36666666666666664,0.3230630160251464,0.45241892610313666,0.24838263329775256,0.3321012623644528,0.42158426368952684,0.44970414201183434,8,169,0.5692245759138738,0.43726189395089504
clean,instruction_paraphrase,policy_output,0,90,1.0,True,0.36666666666666664,0.331877664629548,0.46996278575225947,0.3283585909773668,0.3779788259686564,0.4912280701754386,0.514792899408284,8,169,0.889405903561506,0.49911447690329663
clean,instruction_paraphrase,robot_state,0,90,1.0,True,0.36666666666666664,0.4313740668181034,0.53056884635832,0.2484720886945075,0.32922928700581233,0.44710260499734183,0.4556213017751479,8,169,0.9994880939018622,0.3442929243335362
clean,instruction_paraphrase,state_action_history,0,90,1.0,True,0.36666666666666664,0.4621419161334498,0.5422647527910686,0.2535129909744214,0.3809673235544072,0.45082402977139824,0.40828402366863903,8,169,0.9571816550234432,0.39566609188175206
clean,instruction_paraphrase,vlm_final,0,90,1.0,True,0.36666666666666664,0.4858010393491363,0.531632110579479,0.28790837098588806,0.41004538496405096,0.5135566188197768,0.48520710059171596,8,169,0.809450735191819,0.35901097593239045
clean,instruction_paraphrase,action_expert_final,50,90,1.0,True,0.36666666666666664,0.4906391310819146,0.5661881977671451,0.23242998930043204,0.49614571879376446,0.5964912280701754,0.5857988165680473,8,169,0.6254487083760434,0.30470684498510947
clean,instruction_paraphrase,action_uncertainty,50,90,1.0,True,0.36666666666666664,0.3820145634547838,0.44710260499734183,0.24790894959306695,0.49020896278447745,0.53056884635832,0.5325443786982249,8,169,0.8655688515391653,0.4598740292897584
clean,instruction_paraphrase,policy_output,50,90,1.0,True,0.36666666666666664,0.34444796089464186,0.48219032429558745,0.26765931358294487,0.3816129393792363,0.4875066454013823,0.5088757396449705,8,169,0.8546478990452226,0.3933970324808077
clean,instruction_paraphrase,robot_state,50,90,1.0,True,0.36666666666666664,0.49954206783178123,0.572567783094099,0.2481014096302749,0.3550249071548871,0.4662413609782031,0.4437869822485207,8,169,0.9916043309345617,0.33132780981235016
clean,instruction_paraphrase,state_action_history,50,90,1.0,True,0.36666666666666664,0.43334845824933754,0.533758639021797,0.26500716322925266,0.40544028813805655,0.5023923444976077,0.48520710059171596,8,169,0.9691405092657468,0.2991493143723962
clean,instruction_paraphrase,vlm_final,50,90,1.0,True,0.36666666666666664,0.4259199434664951,0.5199362041467305,0.2771442614486063,0.39155312197493597,0.4492291334396598,0.44970414201183434,8,169,0.6926077549210871,0.31369427440176967
clean,instruction_paraphrase,action_expert_final,100,90,1.0,True,0.36666666666666664,0.6598053116219595,0.7283359914938862,0.18840900206756198,0.7040683062968823,0.735778841041999,0.7633136094674556,8,169,0.48858400170819954,0.34207487733478104
clean,instruction_paraphrase,action_uncertainty,100,90,1.0,True,0.36666666666666664,0.32894769541068114,0.4279638490164806,0.24765528059362757,0.4251754478587879,0.47740563530037217,0.4970414201183432,8,169,0.8237052533405218,0.46514870079691883
clean,instruction_paraphrase,policy_output,100,90,1.0,True,0.36666666666666664,0.4803734787563684,0.5502392344497609,0.2362404184569847,0.43085987705405193,0.5757575757575757,0.6153846153846154,8,169,0.7721170391405054,0.4118419972086138
clean,instruction_paraphrase,robot_state,100,90,1.0,True,0.36666666666666664,0.49632824038570156,0.5943646996278575,0.2394364122979072,0.3677068188974756,0.4465709728867624,0.3905325443786982,8,169,0.9647355604666958,0.3491050371844997
clean,instruction_paraphrase,state_action_history,100,90,1.0,True,0.36666666666666664,0.4357559628952554,0.5369484316852738,0.24328906982572035,0.506958865188452,0.6150983519404571,0.6745562130177515,8,169,0.9083087217079119,0.3721317034368821
clean,instruction_paraphrase,vlm_final,100,90,1.0,True,0.36666666666666664,0.47061777157431395,0.6076555023923446,0.2458061696270683,0.5309721407718352,0.595959595959596,0.6272189349112426,8,169,0.6815662971203938,0.3647613736196146
